epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.199,0,117.806,0,0,0,0,0,0,162.916,0,0.00014,0.00014,0.00014
2,177.124,0,111.694,0,0,0,0,0,0,162.661,0,0.00028515,0.00028515,0.00028515
3,260.846,0,102.987,0,0,0,0,0,0,162.596,0,0.00041446,0.00041446,0.00041446
4,339.704,0,95.8758,0,0,0,0,0,0,161.663,0,0.00052793,0.00052793,0.00052793
5,421.603,0,89.2852,0,0,0,0,0,0,156.842,0,0.00062556,0.00062556,0.00062556
6,497.579,0,82.7303,0,0,0,0,0,0,149.157,0,0.00070735,0.00070735,0.00070735
7,573.948,0,77.9021,0,0,0,0,0,0,154.322,0,0.0007733,0.0007733,0.0007733
8,654.752,0,74.5814,0,0,0,0,0,0,215.594,0,0.00082341,0.00082341,0.00082341
9,734.764,0,71.1599,0,0,0,0,0,0,148.289,0,0.00085768,0.00085768,0.00085768
10,814.874,0,67.7552,0,0,0,0,0,0,415.491,0,0.00087611,0.00087611,0.00087611
11,897.957,0,65.7521,0,0,0,0,0,0,117.028,0,0.0008787,0.0008787,0.0008787
12,984.671,0,63.5603,0,0,0,0,0,0,116.645,0,0.00086545,0.00086545,0.00086545
13,1068.07,0,61.8038,0,0,0,0,0,0,105.381,0,0.000812,0.000812,0.000812
14,1149.2,0,60.3576,0,0,0,0,0,0,105.136,0,0.000713,0.000713,0.000713
15,1226.36,0,59.3706,0,0,0,0,0,0,101.299,0,0.000614,0.000614,0.000614
16,1305.61,0,58.6013,0,0,0,0,0,0,101.151,0,0.000515,0.000515,0.000515
17,1381.45,0,57.6357,0,0,0,0,0,0,95.0493,0,0.000416,0.000416,0.000416
18,1457.74,0,57.0248,0,0,0,0,0,0,90.9236,0,0.000317,0.000317,0.000317
19,1541.05,0,56.4834,0,0,0,0,0,0,89.0457,0,0.000218,0.000218,0.000218
20,1621.55,0,56.0436,0,0,0,0,0,0,87.1916,0,0.000119,0.000119,0.000119
