epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.971,0,117.806,0,0,0,0,0,0,162.916,0,0.00014,0.00014,0.00014
2,205.208,0,111.608,0,0,0,0,0,0,162.652,0,0.00029406,0.00029406,0.00029406
3,282.647,0,102.61,0,0,0,0,0,0,162.512,0,0.000441784,0.000441784,0.000441784
4,482.661,0,95.4493,0,0,0,0,0,0,161.064,0,0.000583172,0.000583172,0.000583172
5,599.51,0,88.5055,0,0,0,0,0,0,160.183,0,0.000718224,0.000718224,0.000718224
6,696.028,0,80.5769,0,0,0,0,0,0,564.934,0,0.00084694,0.00084694,0.00084694
7,777.887,0,75.4763,0,0,0,0,0,0,186.486,0,0.00096932,0.00096932,0.00096932
8,866.664,0,71.2745,0,0,0,0,0,0,130.014,0,0.00108536,0.00108536,0.00108536
9,969.909,0,68.1803,0,0,0,0,0,0,137.894,0,0.00119507,0.00119507,0.00119507
10,1070.6,0,63.7362,0,0,0,0,0,0,121.146,0,0.00129844,0.00129844,0.00129844
11,1160.58,0,60.5174,0,0,0,0,0,0,317.632,0,0.00139548,0.00139548,0.00139548
12,1253.68,0,57.5283,0,0,0,0,0,0,1126.38,0,0.00148618,0.00148618,0.00148618
13,1337.62,0,54.9965,0,0,0,0,0,0,86.0639,0,0.0015248,0.0015248,0.0015248
14,1414.42,0,52.6953,0,0,0,0,0,0,99.0647,0,0.0014852,0.0014852,0.0014852
15,1493.43,0,50.5129,0,0,0,0,0,0,152.025,0,0.0014456,0.0014456,0.0014456
16,1579.61,0,48.1384,0,0,0,0,0,0,58.0036,0,0.001406,0.001406,0.001406
17,1673.1,0,45.9298,0,0,0,0,0,0,66.718,0,0.0013664,0.0013664,0.0013664
18,1758.88,0,43.9432,0,0,0,0,0,0,66.1071,0,0.0013268,0.0013268,0.0013268
19,1840.76,0,42.0186,0,0,0,0,0,0,67.9121,0,0.0012872,0.0012872,0.0012872
20,1916.5,0,40.6673,0,0,0,0,0,0,62.7651,0,0.0012476,0.0012476,0.0012476
21,2002.39,0,38.8111,0,0,0,0,0,0,55.0006,0,0.001208,0.001208,0.001208
22,2084.23,0,37.1044,0,0,0,0,0,0,53.2472,0,0.0011684,0.0011684,0.0011684
23,2170.95,0,35.6108,0,0,0,0,0,0,52.8161,0,0.0011288,0.0011288,0.0011288
24,2267.02,0,33.9833,0,0,0,0,0,0,49.2136,0,0.0010892,0.0010892,0.0010892
25,2357.24,0,32.5706,0,0,0,0,0,0,47.6634,0,0.0010496,0.0010496,0.0010496
26,2444.17,0,31.5205,0,0,0,0,0,0,58.207,0,0.00101,0.00101,0.00101
27,2529.39,0,30.1991,0,0,0,0,0,0,40.7623,0,0.0009704,0.0009704,0.0009704
28,2609.39,0,29.1246,0,0,0,0,0,0,39.681,0,0.0009308,0.0009308,0.0009308
29,2688.5,0,27.9248,0,0,0,0,0,0,38.43,0,0.0008912,0.0008912,0.0008912
30,2770.68,0,26.9173,0,0,0,0,0,0,38.0432,0,0.0008516,0.0008516,0.0008516
31,2858.07,0,26.1399,0,0,0,0,0,0,36.2791,0,0.000812,0.000812,0.000812
32,2947.22,0,25.2437,0,0,0,0,0,0,34.4555,0,0.0007724,0.0007724,0.0007724
33,3031.19,0,24.4183,0,0,0,0,0,0,36.6023,0,0.0007328,0.0007328,0.0007328
34,3126.43,0,23.7044,0,0,0,0,0,0,33.565,0,0.0006932,0.0006932,0.0006932
35,3204.63,0,22.9532,0,0,0,0,0,0,31.555,0,0.0006536,0.0006536,0.0006536
36,3284.28,0,22.3901,0,0,0,0,0,0,30.4403,0,0.000614,0.000614,0.000614
37,3395.48,0,21.7277,0,0,0,0,0,0,30.4355,0,0.0005744,0.0005744,0.0005744
38,3516.03,0,21.2038,0,0,0,0,0,0,30.8096,0,0.0005348,0.0005348,0.0005348
39,3828.55,0,20.827,0,0,0,0,0,0,30.757,0,0.0004952,0.0004952,0.0004952
40,3921.97,0,20.375,0,0,0,0,0,0,30.2358,0,0.0004556,0.0004556,0.0004556
41,4108.24,0,19.972,0,0,0,0,0,0,29.8604,0,0.000416,0.000416,0.000416
42,4187.07,0,19.576,0,0,0,0,0,0,29.2824,0,0.0003764,0.0003764,0.0003764
43,4270.03,0,19.2884,0,0,0,0,0,0,28.4616,0,0.0003368,0.0003368,0.0003368
44,4347.97,0,19.0021,0,0,0,0,0,0,27.8776,0,0.0002972,0.0002972,0.0002972
45,4423.41,0,18.7886,0,0,0,0,0,0,27.5194,0,0.0002576,0.0002576,0.0002576
46,4504.3,0,18.5435,0,0,0,0,0,0,27.1712,0,0.000218,0.000218,0.000218
47,4582.92,0,18.3929,0,0,0,0,0,0,28.2757,0,0.0001784,0.0001784,0.0001784
48,4660.82,0,18.2966,0,0,0,0,0,0,28.9916,0,0.0001388,0.0001388,0.0001388
49,4735.86,0,18.1627,0,0,0,0,0,0,29.767,0,9.92e-05,9.92e-05,9.92e-05
50,4812.88,0,18.1831,0,0,0,0,0,0,30.8022,0,5.96e-05,5.96e-05,5.96e-05
